No.,Tag,Namecode,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,844,ARGYACAC,0,1imfb?,"3fb,1fl",3fl,1fl,1imft,2imft,2ft,2ft,2ft,1ft,0
2,832,DORYSASS,0,0,0,0,3fbs?,3fb,"3fb,1fl",2fb??,??,2imft??,0,0
3,879,BALOINOP,,,,,,,,,,,,0
4,1600,BALOINOP,0,0,0,0,0,0,0,0,"2fb,fl",1fl,0,0
5,859,EMMEALPH,1ft,1ft,1ft,?,1fb,2fb?,3fb,"1fb,2fl",2fl,3imft,3ft,3ft
6,862,DIPLAUST,0,0,0,0,0,0,0,0,2fb?,2fb?,0,0
7,861,SYZYCREB,0,0,0,0,0,0,0,0,0,0,0,0
8,1480,QUINVERD,3ft,3ft,0,0,0,0,0,0,0,0,0,0
9,873,SARCSTIP,0,0,0,0,0,0,0,0,"4fb,fl",2fls,0,0
10,882,VITELIGN,0,1fl,1fl,0,"1fl,1ft",2ft,2ft,2ft,3ft,2ft,4ft,0
11,899,DIPLAUST,0,0,0,0,0,0,0,0,0,2fbs,0,0
12,1541,SARCSTIP,,,,,,,,,,,,
13,896,HALFKEND,1fbd,"1fbd,1fl",1fl,1imft,1imft,2imft,2imft,2imft,2ft,2ft,2ft,1ft
14,889,ACROPUBE,,,,,,,,,,,,
15,937,ATRABENT,0,0,0,0,0,3bds,3fb,5fl??,0,0,0,0
16,1544,ACROPUBE,,,,,,,,,,,,
17,931,ARGYACAC,0,0,2fb,2fl,2fl,2imft,2imft,2ft,1ft,1ft,1ft,0
18,942,ANTHNITI,0,0,0,0,0,0,0,0,0,0,0,0
19,921,ACROPUBE,"1fl,1fb","1fbd,1fl",1imft,2fb,"2fb,1fl",3fl,1fl,2fl,0,0,0,1ft
20,920,ATRABENT,0,0,0,0,0,3bds,2fb,3fl,0,0,0,0
21,1431,DIOSPENT,2fl,1fl,0,0,0,0,0,0,0,0,0,0
22,918,ATRABENT,0,0,0,0,0,3bds,2fb,2fl,0,0,0,0
23,2061,WILKHUEG,0,0,0,0,?,3imfb,2imfb,3fb,2fb,0,0,0
24,2138,WILKAUST,0,0,0,0,0,1imfb,1imfb,1imfb,1fb,1fb,1fl,0
25,2091,WILKHUEG,0,0,0,0,0,0,0,0,1fb,1fb,0,0
26,955,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
27,2099,WILKHUEG,0,0,0,0,0,2imfb,2imfb,2imfb,0,0,0,0
28,958,HELIGLAB,0,0,0,3fl,3fl,2fl,2fl,"1fb,1fl",0,0,0,0
29,959,MISCAUST,0,0,0,0,0,0,0,0,0,0,0,0
30,961,ELATNERV,0,0,0,0,0,0,0,0,0,0,0,0
31,2182,WILKHUEG,0,0,0,0,0,0,0,2fl,0,0,0,0
