No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,June
1,844,ARGYACAC,1,0,0,0,2fb/fl,0,0
2,832,DORYSASS,1,0,0,0,3imfb,2imfb,4fb
3,,HELIGLAB,,2fl,3fl,2fl,1fb/fl,1imft,2fl
4,852,VITELIGN,,1fl,0,0,0,0,0
7,,EHREACUM,,0,0,0,0,0,0
,,CUPAFLAG,,,0,0,0,0,0
5,1600,BALOINOP,2,0,0,0,0,0,0
6,859,EMMEALPH,1,4ft,4ft,5ft,3ft,2ft,0?
8,,ATRABENT,,2imft,2imft,2imft,2ft,1ft,0
9,862,DIPLAUST,1,0,0,0,0,0,0
10,861,SYZYCREB,1,0,0,0,0,0,0
11,1480,QUINVERD,5,4ft,4ft,0,0,0,0
12,873,SARCSTIP,1,0,0,0,0,0,0
13,882,VITELIGN,1,0,0,0,0,2fl,"1fl,1imft"
,910,ARGYACAC,,,,,4fl,0,3imft
14,899,DIPLAUST,2,0,0,0,0,0,0
15,896,HALFKEND,1,0,0,0,0,0,0
16,937,ATRABENT,1,0,0,0,0,0,3imfb
17,931,ARGYACAC,2,0,0,0,2fl,1fl,0
18,942,ANTHNITI,1,2imft,3ft,1ft,0?,0,0
19,921,ACROPUBE,3,2imfb,2imfb,2imfb,1fb,1fb,2fl
20,,ATRABENT,,2imft,2imft,2imft,2ft,1ft,0
21,920,ATRABENT,2,0,0,0,0,0,3imfb
22,1431,DIOSPENT,1,4fl,2fl,0,0,0,0
23,918,ATRABENT,3,0,0,0,0,0,2imfb?
24,2061,WILKHUEG,1,0,0,0,0,0,0
25,2138,WILKAUST,1,0,0,0,0,0,0
26,2091,WILKHUEG,2,0,0,0,0,0,0
27,955,MISCAUST,1,0,0,0,0,0,0
28,2099,WILKHUEG,3,0,0,0,0,0,0
29,958,HELIGLAB,1,2fl,1fl,1fl,1fl,"2fl,1ft",1fl
30,959,MISCAUST,2,0,0,0,0,0,0
31,961,ELATNERV,1,0,0,0,0,0,0
32,2182,WILKHUEG,4,0,0,0,0,0,0
33,2178,WILKHUEG,5,0,0,0,0,0,0
34,2160?,ACROPUBE,,3imfb,3imfb,4fb,3fb,4fl,3fl
35,2175,WILKAUST,2,0,0,0,0,0,0
36,1580,EMMEALPH,,5ft,5ft,5ft,4ft,2ft,2ft
37,972,ELATNERV,2,0,0,0,0,0,0
38,1546,ARGYACAC,3,0,0,0,2fl,0,0
39,1545,ORITEXCE,,0,0,0,0,0,0
40,962,EMMEALPH,2,3ft,2ft,1ft,?,0,0
41,5219.1,PHALCHER,,0,0,0,0,0,0
42,1020,ACMEINGE,1,"1ft,4imft",4imft,4imft,4ft,4ft,4ft
43,1018,DYSOFRAS,1,0,1ft,0,0,0,0
44,1019,EUPOLAUR,1,,,,,,
,,KARABENT,,,,,4ft,4ft,??
45,1548,ACMEINGE,2,0??,0??,0,0,0,0
46,1550,ELATNERV,3,0,0,0,0,0,0
47,1017,MELIMICR,1,4fl,4imft,4ft,2ft,1ft,0
48,,GUILMONO,,0,0,0,0,0,0
49,1067,ARGYTRIF,1,0,0,?,5imfb,"5fb,2fl","4fl, 2fb"
50,1004,POLYELEG,1,2fb/fl,3imft,3imft,4ft,1ft,0
51,1065,POLYELEG,2,2fb/fl,4imft,4imft,4ft,2ft,0
52,1010,CITRMOOR,1,0,0,0,0,0,0
53,1033,BRACACER,1,0,0,0,0,0,0
54,1025,BRACACER,2,0,0,0,0,0,0
55,1031,SYZYCREB,2,0,1ft,0,0,0,0
56,1057,ACMEINGE,3,2imft,2imft,2imft,2ft,2ft,2ft
57,1061,LITSRETI,1,4ft,2ft,0,0,0,0
58,,DYSORUFU,,0,0,0,0,0,0
59,1055.1,DYSORUFU,1,4ft,4ft,3ft,0,0,0
60,1071,DORYSASS,2,0,0,0,2fb?,2fb,??
61,1074,BRACACER,3,0,0,0,0,0,0
62,1075,ANTHNITI,2,0,0,0,0,0,0
63,1047,VITELIGN,2,0,2fl,2fl,2fl,2fl,2fl
64,1049,POLYCUNN,,1ft,1ft,1ft,1ft,0,0
65,,CUPAFLAG,,0,0,0,0,0,0
66,1046,ELATNERV,4,0,0,0,0,0,0
67,1070,ACROSUBE,1,3fl,2imft,3ft,2ft,1ft,0
68,1079,DYSORUFU,2,0,0,0,0,0,0
69,1110,SYZYCREB,3,0,0,0,0,0,0
70,1107,SYZYCREB,,0,2ft,0,0,0,0
71,1116,WILKAUST,3,0,0,0,0,0,0
72,1115,MISCAUST,3,0,0,0,0,0,0
73,1220,QUINVERD,1,3ft,3ft,0,0,0,0
74,1221,DIPLAUST,3,0,0,0,0,0,0
75,1217,DIPLAUST,4,0,0,0,0,0,0
76,1231,ACMEINGE,5,3imft?,1imft,1imft,2ft,1ft,1ft
77,1122,SYZYCREB,4,0,0,0,0,0,0
78,2278,WILKAUST,4,,,,,,
79,2281,WILKAUST,5,0,0,0,0,0,0
80,1094,ARGYTRIF,2,0,0,0,0,0,0
81,1801,LITSRETI,3,0,0,0,0,0,0
82,1091,DIOSPENT,,0,0,0,0,0,0
,1148,ARGYTRIF,,0,0,0,4imfb,4fb,"3fl,2fb"
